College,Major,Program,Course Prefix,Course Name,Color
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,CHEM 313,Survey of Biochemistry and Biotechnology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,WVIT 333,Advanced Viticulture - Spring,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 212,Environmental Horticulture Enterprise Project I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 460,Senior Project - Research I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AEPS 150,Forage Crops,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AEPS 190,California Vegetable Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,DSCI 231,General Dairy Manufacturing,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,FSN 340,Fermented Foods,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 214,Agribusiness Financial Accounting,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,ASCI 229,Anatomy and Physiology of Farm Animals,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 101,Introduction to Agribusiness,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AEPS 132,Pomology I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,BRAE 438,Drip/Micro Irrigation,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,SS 120,Introductory Soil Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,FSN 250,Food and Nutrition: Customs and Culture,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 308,Introduction to Agribusiness Finance,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 327,Agribusiness Data Analysis,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,BUS 207,Legal Responsibilities of Business,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 313,Agriculture Economic Analysis,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,SS 130,Soils in Environmental and Agricultural Systems,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AEPS 421,Postharvest Technology of Horticultural Crops,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,STAT 251,Statistical Inference for Management I (GE Electives) 2,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,ASCI 112,Principles of Animal Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 312,Agricultural Policy,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 369,Agricultural Personnel Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,SS 321,Soil Morphology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 301,Food and Fiber Marketing,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural Business,Agricultural Business,AGB 461,Senior Project - Research II,#ff99f1
